national_industry_code,national_industry_desc,naics_level,sector_code,sector_desc,subsector_code,subsector_desc,industry_group_code,industry_group_desc,naics_industry_code,naics_industry_desc
111110,Soybean farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1111,Oilseed and grain farming,11111,Soybean farming
111120,Oilseed (except soybean) farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1111,Oilseed and grain farming,11112,Oilseed (except soybean) farming
111130,Dry pea and bean farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1111,Oilseed and grain farming,11113,Dry pea and bean farming
111140,Wheat farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1111,Oilseed and grain farming,11114,Wheat farming
111150,Corn farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1111,Oilseed and grain farming,11115,Corn farming
111160,Rice farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1111,Oilseed and grain farming,11116,Rice farming
111191,Oilseed and grain combination farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1111,Oilseed and grain farming,11119,Other grain farming
111199,All other grain farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1111,Oilseed and grain farming,11119,Other grain farming
111211,Potato farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1112,Vegetable and melon farming,11121,Vegetable and melon farming
111219,Other vegetable (except potato) and melon farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1112,Vegetable and melon farming,11121,Vegetable and melon farming
111310,Orange groves,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11131,Orange groves
111320,Citrus (except orange) groves,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11132,Citrus (except orange) groves
111331,Apple orchards,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11133,Noncitrus fruit and tree nut farming
111332,Grape vineyards,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11133,Noncitrus fruit and tree nut farming
111333,Strawberry farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11133,Noncitrus fruit and tree nut farming
111334,Berry (except strawberry) farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11133,Noncitrus fruit and tree nut farming
111335,Tree nut farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11133,Noncitrus fruit and tree nut farming
111336,Fruit and tree nut combination farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11133,Noncitrus fruit and tree nut farming
111339,Other noncitrus fruit farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1113,Fruit and tree nut farming,11133,Noncitrus fruit and tree nut farming
111411,Mushroom production,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1114,"Greenhouse, nursery, and floriculture production",11141,Food crops grown under cover
111419,Other food crops grown under cover,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1114,"Greenhouse, nursery, and floriculture production",11141,Food crops grown under cover
111421,Nursery and tree production,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1114,"Greenhouse, nursery, and floriculture production",11142,Nursery and floriculture production
111422,Floriculture production,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1114,"Greenhouse, nursery, and floriculture production",11142,Nursery and floriculture production
111910,Tobacco farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1119,Other crop farming,11191,Tobacco farming
111920,Cotton farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1119,Other crop farming,11192,Cotton farming
111930,Sugarcane farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1119,Other crop farming,11193,Sugarcane farming
111940,Hay farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1119,Other crop farming,11194,Hay farming
111991,Sugar beet farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1119,Other crop farming,11199,All other crop farming
111992,Peanut farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1119,Other crop farming,11199,All other crop farming
111998,All other miscellaneous crop farming,national industry,11,"Agriculture, forestry, fishing and hunting",111,Crop production,1119,Other crop farming,11199,All other crop farming
112111,Beef cattle ranching and farming,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1121,Cattle ranching and farming,11211,"Beef cattle ranching and farming, including feedlots"
112112,Cattle feedlots,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1121,Cattle ranching and farming,11211,"Beef cattle ranching and farming, including feedlots"
112120,Dairy cattle and milk production,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1121,Cattle ranching and farming,11212,Dairy cattle and milk production
112130,Dual-purpose cattle ranching and farming,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1121,Cattle ranching and farming,11213,Dual-purpose cattle ranching and farming
112210,Hog and pig farming,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1122,Hog and pig farming,11221,Hog and pig farming
112310,Chicken egg production,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1123,Poultry and egg production,11231,Chicken egg production
112320,Broilers and other meat type chicken production,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1123,Poultry and egg production,11232,Broilers and other meat type chicken production
112330,Turkey production,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1123,Poultry and egg production,11233,Turkey production
112340,Poultry hatcheries,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1123,Poultry and egg production,11234,Poultry hatcheries
112390,Other poultry production,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1123,Poultry and egg production,11239,Other poultry production
112410,Sheep farming,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1124,Sheep and goat farming,11241,Sheep farming
112420,Goat farming,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1124,Sheep and goat farming,11242,Goat farming
112511,Finfish farming and fish hatcheries,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1125,Aquaculture,11251,Aquaculture
112512,Shellfish farming,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1125,Aquaculture,11251,Aquaculture
112519,Other aquaculture,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1125,Aquaculture,11251,Aquaculture
112910,Apiculture,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1129,Other animal production,11291,Apiculture
112920,Horses and other equine production,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1129,Other animal production,11292,Horses and other equine production
112930,Fur-bearing animal and rabbit production,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1129,Other animal production,11293,Fur-bearing animal and rabbit production
112990,All other animal production,national industry,11,"Agriculture, forestry, fishing and hunting",112,Animal production and aquaculture,1129,Other animal production,11299,All other animal production
113110,Timber tract operations,national industry,11,"Agriculture, forestry, fishing and hunting",113,Forestry and logging,1131,Timber tract operations,11311,Timber tract operations
113210,Forest nurseries and gathering of forest products,national industry,11,"Agriculture, forestry, fishing and hunting",113,Forestry and logging,1132,Forest nurseries and gathering of forest products,11321,Forest nurseries and gathering of forest products
113310,Logging,national industry,11,"Agriculture, forestry, fishing and hunting",113,Forestry and logging,1133,Logging,11331,Logging
114111,Finfish fishing,national industry,11,"Agriculture, forestry, fishing and hunting",114,"Fishing, hunting and trapping",1141,Fishing,11411,Fishing
114112,Shellfish fishing,national industry,11,"Agriculture, forestry, fishing and hunting",114,"Fishing, hunting and trapping",1141,Fishing,11411,Fishing
114119,Other marine fishing,national industry,11,"Agriculture, forestry, fishing and hunting",114,"Fishing, hunting and trapping",1141,Fishing,11411,Fishing
114210,Hunting and trapping,national industry,11,"Agriculture, forestry, fishing and hunting",114,"Fishing, hunting and trapping",1142,Hunting and trapping,11421,Hunting and trapping
115111,Cotton ginning,national industry,11,"Agriculture, forestry, fishing and hunting",115,Support activities for agriculture and forestry,1151,Support activities for crop production,11511,Support activities for crop production
115112,"Soil preparation, planting, and cultivating",national industry,11,"Agriculture, forestry, fishing and hunting",115,Support activities for agriculture and forestry,1151,Support activities for crop production,11511,Support activities for crop production
115113,"Crop harvesting, primarily by machine",national industry,11,"Agriculture, forestry, fishing and hunting",115,Support activities for agriculture and forestry,1151,Support activities for crop production,11511,Support activities for crop production
115114,Postharvest crop activities (except cotton ginning),national industry,11,"Agriculture, forestry, fishing and hunting",115,Support activities for agriculture and forestry,1151,Support activities for crop production,11511,Support activities for crop production
115115,Farm labor contractors and crew leaders,national industry,11,"Agriculture, forestry, fishing and hunting",115,Support activities for agriculture and forestry,1151,Support activities for crop production,11511,Support activities for crop production
115116,Farm management services,national industry,11,"Agriculture, forestry, fishing and hunting",115,Support activities for agriculture and forestry,1151,Support activities for crop production,11511,Support activities for crop production
115210,Support activities for animal production,national industry,11,"Agriculture, forestry, fishing and hunting",115,Support activities for agriculture and forestry,1152,Support activities for animal production,11521,Support activities for animal production
115310,Support activities for forestry,national industry,11,"Agriculture, forestry, fishing and hunting",115,Support activities for agriculture and forestry,1153,Support activities for forestry,11531,Support activities for forestry
211120,Crude petroleum extraction,national industry,21,"Mining, quarrying, and oil and gas extraction",211,Oil and gas extraction,2111,Oil and gas extraction,21112,Crude petroleum extraction
211130,Natural gas extraction,national industry,21,"Mining, quarrying, and oil and gas extraction",211,Oil and gas extraction,2111,Oil and gas extraction,21113,Natural gas extraction
212111,Bituminous coal and lignite surface mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2121,Coal mining,21211,Coal mining
212112,Bituminous coal underground mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2121,Coal mining,21211,Coal mining
212113,Anthracite mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2121,Coal mining,21211,Coal mining
212210,Iron ore mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2122,Metal ore mining,21221,Iron ore mining
212221,Gold ore mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2122,Metal ore mining,21222,Gold ore and silver ore mining
212222,Silver ore mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2122,Metal ore mining,21222,Gold ore and silver ore mining
212230,"Copper, nickel, lead, and zinc mining",national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2122,Metal ore mining,21223,"Copper, nickel, lead, and zinc mining"
212291,Uranium-radium-vanadium ore mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2122,Metal ore mining,21229,Other metal ore mining
212299,All other metal ore mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2122,Metal ore mining,21229,Other metal ore mining
212311,Dimension stone mining and quarrying,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21231,Stone mining and quarrying
212312,Crushed and broken limestone mining and quarrying,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21231,Stone mining and quarrying
212313,Crushed and broken granite mining and quarrying,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21231,Stone mining and quarrying
212319,Other crushed and broken stone mining and quarrying,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21231,Stone mining and quarrying
212321,Construction sand and gravel mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
212322,Industrial sand mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
212324,Kaolin and ball clay mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
212325,Clay and ceramic and refractory minerals mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21232,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
212391,"Potash, soda, and borate mineral mining",national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21239,Other nonmetallic mineral mining and quarrying
212392,Phosphate rock mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21239,Other nonmetallic mineral mining and quarrying
212393,Other chemical and fertilizer mineral mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21239,Other nonmetallic mineral mining and quarrying
212399,All other nonmetallic mineral mining,national industry,21,"Mining, quarrying, and oil and gas extraction",212,Mining (except oil and gas),2123,Nonmetallic mineral mining and quarrying,21239,Other nonmetallic mineral mining and quarrying
213111,Drilling oil and gas wells,national industry,21,"Mining, quarrying, and oil and gas extraction",213,Support activities for mining,2131,Support activities for mining,21311,Support activities for mining
213112,Support activities for oil and gas operations,national industry,21,"Mining, quarrying, and oil and gas extraction",213,Support activities for mining,2131,Support activities for mining,21311,Support activities for mining
213113,Support activities for coal mining,national industry,21,"Mining, quarrying, and oil and gas extraction",213,Support activities for mining,2131,Support activities for mining,21311,Support activities for mining
213114,Support activities for metal mining,national industry,21,"Mining, quarrying, and oil and gas extraction",213,Support activities for mining,2131,Support activities for mining,21311,Support activities for mining
213115,Support activities for nonmetallic minerals (except fuels) mining,national industry,21,"Mining, quarrying, and oil and gas extraction",213,Support activities for mining,2131,Support activities for mining,21311,Support activities for mining
221111,Hydroelectric power generation,national industry,22,Utilities,221,Utilities,2211,"Electric power generation, transmission and distribution",22111,Electric power generation
221112,Fossil fuel electric power generation,national industry,22,Utilities,221,Utilities,2211,"Electric power generation, transmission and distribution",22111,Electric power generation
